시설종류,시설명,군구명,주소,lat,lon
지역자활센터,강화지역자활센터,강화군,강화군 강화읍 충렬사로 155,37.730076,126.47431
지역자활센터,중구지역자활센터,중구,중구 제물량로 132-2,37.4697066,126.629344
지역자활센터,동구지역자활센터,동구,"동구 송림로 78,5층(송림동)",37.4752434,126.6435241
지역자활센터,희망지역자활센터,미추홀구,"미추홀구 송림로 249, 4층",37.4752412,126.660637
지역자활센터,미추홀지역자활센터,미추홀구,"미추홀구 인주대로 493, 3층 ",37.4509062,126.6915156
지역자활센터,연수지역자활센터,연수구,연수구 청명로3번길 8-5,37.4168587,126.6739369
지역자활센터,남동지역자활센터,남동구,남동구 만수로 12-6,37.4580506,126.7307341
지역자활센터,부평지역자활센터,부평구,"부평구 후정동로 6, 3층",37.5177841,126.7380713
지역자활센터,부평남부지역자활센터,부평구,"부평구 후정동로 6, 2층",37.5177841,126.7380713
지역자활센터,계양지역자활센터,계양구,계양구 계양산로102번길 5,37.5473552,126.7271556
지역자활센터,서구지역자활센터,서구,서구 원창로 76,37.5170902,126.6575266
종합사회복지관,백령사회복지관,옹진군,백령로 271번길20,37.9706123,124.7200082
종합사회복지관,성미가엘사회복지관,중구,송학로 40번길 (내동),37.4744321,126.6272749
종합사회복지관,송림사회복지관,동구,송림로 43번길(송림1동),37.4754029,126.6399549
종합사회복지관,창영사회복지관,동구,우각로 57번지(창영동),37.4706381,126.6409677
종합사회복지관,인천사회복지관,미추홀구,매소홀로 418번길14-57(학익1동),37.4390414,126.6669697
종합사회복지관,미추홀사회복지관,미추홀구,염창로 97(주안5동),37.465582,126.6849654
종합사회복지관,숭의사회복지관,미추홀구,독배로 485(숭의2동),37.4608158,126.6479156
종합사회복지관,선학사회복지관,연수구,선학로 14(선학동),37.4187542,126.6964008
종합사회복지관,세화사회복지관,연수구,원인재로 315(연수3동),37.4194268,126.6889814
종합사회복지관,연수사회복지관,연수구,원인재로 212(연수2동),37.413923,126.6833951
종합사회복지관,함박사회복지관,연수구,함박안로 217(연수1동),37.4265445,126.682564
종합사회복지관,만수사회복지관,남동구,담방로 105(만수1동),37.4498127,126.7392817
종합사회복지관,만월사회복지관,남동구,서판로 54번길12(만수3동),37.4635538,126.7254835
종합사회복지관,성산사회복지관,남동구,석정로552(간석동),37.4658388,126.6971069
종합사회복지관,논현사회복지관,남동구,호구포로 292(논현동),37.4082265,126.713252
종합사회복지관,구월사회복지관,남동구,선수촌로7(구월동),37.460365,126.7149669
종합사회복지관,갈산사회복지관,부평구,주부토로 206(갈산동),37.5133583,126.7273788
종합사회복지관,부평중부사회복지관,부평구,경원대로 1418-13(부평1동),37.490971,126.7263757
종합사회복지관,삼산사회복지관,부평구,평천로 447(삼산동),37.5178556,126.7401199
종합사회복지관,계양사회복지관,계양구,아니지로 517(서운동),37.5264246,126.7498825
종합사회복지관,인천기독교사회복지관,서구,심곡로 124번길10(심곡동),37.5440805,126.6828051
노숙인재활시설,은혜의집,서구,심곡로132번길22(심곡동),37.5451433,126.6853895
노숙인요양시설,광명의집,서구,새오개로16번길 7-4,37.5117642,126.6662733
노숙인요양시설,다사랑의집,미추홀구,인주대로11번길 34-10(숭의동),37.4617497,126.6406847
노숙인요양시설,한무리Holylife,미추홀구,장천로19번길 15(숭의동),37.4595976,126.6460391
노숙인자활시설,내일을여는자활쉼터,계양구,경명대로1029-35(계산동),37.5439267,126.7211494
쪽방상담소,쪽방상담소,계양구,계양산로91(계산동),37.5478663,126.725786
장애인거주시설(법인),샬롬원,강화군,교동면 교동서로 412번길 184-94,37.7774332,126.2196156
장애인거주시설(법인),중증장애인요양시설 예닮,강화군,강화읍 갑룡길 206번길 66,37.7477161,126.5191138
장애인거주시설(법인),색동원,강화군,길상면 장촌길 31,37.6502923,126.4895643
장애인거주시설(법인),요한의집(실비),강화군,길상면 해란길 63-1,37.6489346,126.4757688
장애인거주시설(법인),장봉혜림원,옹진군,북도면 장봉로 26번길 218,37.5345044,126.3726355
장애인거주시설(법인),장봉혜림요양원,옹진군,북도면 장봉로 26번길 218,37.5345044,126.3726355
장애인거주시설(법인),해피타운,옹진군,영흥면 영흥서로 277-36,37.2761521,126.4720665
장애인거주시설(법인),브솔시내,미추홀구,동산로 4(도화동),37.4692559,126.6511294
장애인거주시설(법인),미추홀푸르내,미추홀구,석바위로 107(주안동),37.460415,126.6850653
장애인거주시설(법인),밝은마음,연수구,봉재산로 68(동춘동),37.4058951,126.6650204
장애인거주시설(법인),동심원,연수구,봉재산로 68(동춘동),37.4058951,126.6650204
장애인거주시설(법인),하늘채,남동구,"장아산로 200번길 8(서창동, 하늘채)",37.433626,126.751176
장애인거주시설(법인),성촌의집,부평구,경인로 701번길 26(십정동),37.4726322,126.7073256
장애인거주시설(법인),은광원,부평구,마분로 8(부개동),37.4852045,126.7371021
장애인거주시설(법인),인천광명원,부평구,경인로 769번길 27(십정동),37.4795494,126.708655
장애인거주시설(법인),성동원,부평구,경인로 880(부평동),37.4848826,126.7182913
장애인거주시설(법인),예림원,부평구,동수로 87(부평동),37.4859705,126.7283034
장애인거주시설(법인),우리들의집,부평구,경인로 701번길 26(십정동),37.4726322,126.7073256
장애인거주시설(법인),예원,계양구,둑실안길 54,37.580034,126.6969124
장애인거주시설(개인),평화의집,연수구,경원대로 588번길 5(선학동),37.4365501,126.6969822
장애인거주시설(개인),쉴만한물가의집,부평구,원적로 421번길 9-12(산곡동),37.5043416,126.7127314
장애인거주시설(개인),희락원,중구,송학로 48(내동),37.4748813,126.6268081
장애인공동생활가정,우리마을공동생활가정1,강화군,길상면 해란길 63,37.6486223,126.4755072
장애인공동생활가정,릴리공동생활가정4,강화군,길상면 길상로 242-28,37.6373052,126.4982924
장애인공동생활가정,우리마을공동생활가정4,강화군,길상면 해란길 63,37.6486223,126.4755072
장애인공동생활가정,릴리공동생활가정1,강화군,길상면 길상로 242-28,37.6373052,126.4982924
장애인공동생활가정,릴리공동생활가정2,강화군,길상면 길상로 242-28,37.6373052,126.4982924
장애인공동생활가정,릴리공동생활가정3,강화군,길상면 길상로 242-28,37.6373052,126.4982924
장애인공동생활가정,다사랑공동생활가정,중구,도원로 14번길 15-1,37.4654736,126.6374107
장애인공동생활가정,송림공동생활가정,동구,"송림로 50, 2-406(송림동, 삼익A)",37.4742212,126.6412715
장애인공동생활가정,기분좋은그룹홈1,미추홀구," 한나루로 490번길 59,201호(주안동)",37.4506292,126.6699961
장애인공동생활가정,기분좋은그룹홈3,미추홀구,"인하로 294번길 8,201호(관교동)",37.442705,126.6944257
장애인공동생활가정,길벗그룹홈,미추홀구,남구 남주길 125번길64-14(주안동),37.4566739,126.6768617
장애인공동생활가정,길벗숭의그룹홈,미추홀구," 석정로 102번길 11,3층(숭의동)",37.4676072,126.6474887
장애인공동생활가정,예그리나공동생활가정1,미추홀구,"경인로 395, 4-403(주안동, 현대A)",37.4591866,126.6839415
장애인공동생활가정,밀알공동생활가정1,미추홀구,석정로 326번길 12-13(도화동),37.466985,126.6718968
